t; x; y; theta
26641401.589996; 0.00; 0.00; 39.59
26658378.608994; 0.00; 0.00; 39.63
26673314.051003; 0.00; 0.00; 39.66
26688626.592003; 0.00; 0.00; 39.69
26704672.972000; 0.00; 0.00; 39.72
26720834.733994; 0.00; 0.00; 39.75
26736630.099998; 0.00; 0.00; 39.78
26752667.834999; 0.00; 0.00; 39.81
26768659.712997; 0.00; 0.00; 39.85
26787903.254997; 0.00; 0.00; 39.88
26801106.227997; 0.00; 0.00; 39.91
26816882.402000; 0.00; 0.00; 39.94
26833037.301003; 0.00; 0.00; 39.97
26849396.350998; 0.00; 0.00; 40.00
26865796.457993; 0.00; 0.00; 40.04
26883157.148994; 0.00; 0.00; 40.07
26896597.181999; 0.00; 0.00; 40.10
26912645.407997; 0.00; 0.00; 40.13
26929551.890999; 0.00; 0.00; 40.17
26945724.415001; 0.00; 0.00; 40.20
26962763.843994; 0.00; 0.00; 40.23
26979373.968002; 0.00; 0.00; 40.26
26992641.041000; 0.00; 0.00; 40.29
27008905.971001; 0.00; 0.00; 40.32
27024704.474998; 0.00; 0.00; 40.35
27040638.425995; 0.00; 0.00; 40.38
27057615.418999; 0.00; 0.00; 40.42
27074078.339996; 0.00; 0.00; 40.45
27089037.194000; 0.00; 0.00; 40.48
27106331.021996; 0.00; 0.00; 40.52
27120660.988998; 0.00; 0.00; 40.54
27136851.160995; 0.00; 0.00; 40.58
27154420.336998; 0.00; 0.00; 40.61
27168673.665001; 0.00; 0.00; 40.64
27185786.911995; 0.00; 0.00; 40.67
27200832.797997; 0.00; 0.00; 40.70
27219303.320000; 0.00; 0.00; 40.74
27232972.860992; 0.00; 0.00; 40.77
27251454.987999; 0.00; 0.00; 40.80
27265225.063995; 0.00; 0.00; 40.83
27280697.022995; 0.00; 0.00; 40.86
27299356.308998; 0.00; 0.00; 40.90
27312890.864998; 0.00; 0.00; 40.92
27329749.437996; 0.00; 0.00; 40.95
27344875.758003; 0.00; 0.00; 40.97
27362370.941994; 0.00; 0.00; 41.00
27376670.723000; 0.00; 0.00; 41.02
27393730.423996; 0.00; 0.00; 41.05
27410853.518997; 0.00; 0.00; 41.08
27424818.238998; 0.00; 0.00; 41.10
27442683.760002; 0.00; 0.00; 41.13
27457699.362000; 0.00; 0.00; 41.15
27474125.973000; 0.00; 0.00; 41.18
27488763.412994; 0.00; 0.00; 41.20
27504702.058998; 0.00; 0.00; 41.22
27522773.514999; 0.00; 0.00; 41.25
27537014.540001; 0.00; 0.00; 41.28
27552622.325996; 0.00; 0.00; 41.30
27568880.557999; 0.00; 0.00; 41.32
27584611.002998; 0.00; 0.00; 41.35
27601333.173996; 0.00; 0.00; 41.38
27617414.856995; 0.00; 0.00; 41.40
27634459.574997; 0.00; 0.00; 41.43
27648813.298996; 0.00; 0.00; 41.45
27666403.437004; 0.00; 0.00; 41.48
27681129.301994; 0.00; 0.00; 41.50
27696655.045998; 0.00; 0.00; 41.53
27713714.874001; 0.00; 0.00; 41.56
27728862.459999; 0.00; 0.00; 41.58
27746161.456993; 0.00; 0.00; 41.61
27760688.667000; 0.00; 0.00; 41.63
27777829.147995; 0.00; 0.00; 41.66
27798619.106995; 0.00; 0.00; 41.68
27810194.334999; 0.00; 0.00; 41.71
27825679.700996; 0.00; 0.00; 41.73
27842385.617004; 0.00; 0.00; 41.76
27856649.458992; 0.00; 0.00; 41.78
27873176.896996; 0.00; 0.00; 41.81
27890546.472992; 0.00; 0.00; 41.84
27905169.889000; 0.00; 0.00; 41.86
27922024.790001; 0.00; 0.00; 41.89
27938715.614998; 0.00; 0.00; 41.91
27952614.111000; 0.00; 0.00; 41.93
27972453.945000; 0.00; 0.00; 41.96
27984916.764999; 0.00; 0.00; 41.98
28003138.577995; 0.00; 0.00; 42.00
28019048.681999; 0.00; 0.00; 42.02
28033561.829002; 0.00; 0.00; 42.04
28048619.253998; 0.00; 0.00; 42.05
28064670.021996; 0.00; 0.00; 42.07
28080612.260994; 0.00; 0.00; 42.09
28096644.889999; 0.00; 0.00; 42.11
28115569.417992; 0.00; 0.00; 42.13
28130235.260994; 0.00; 0.00; 42.15
28146016.434998; 0.00; 0.00; 42.17
28161521.150002; 0.00; 0.00; 42.19
28178343.029991; 0.00; 0.00; 42.21
28193012.830994; 0.00; 0.00; 42.23
28208643.616997; 0.00; 0.00; 42.24
28224680.431999; 0.00; 0.00; 42.26
28242736.195000; 0.00; 0.00; 42.28
28258329.724998; 0.00; 0.00; 42.30
28273979.761002; 0.00; 0.00; 42.32
28288755.036003; 0.00; 0.00; 42.34
28304614.610992; 0.00; 0.00; 42.36
28320756.002998; 0.00; 0.00; 42.38
28336626.189995; 0.00; 0.00; 42.40
28352828.043999; 0.00; 0.00; 42.42
28368983.071999; 0.00; 0.00; 42.44
28385916.917000; 0.00; 0.00; 42.46
28402428.035995; 0.00; 0.00; 42.48
28417202.835999; 0.00; 0.00; 42.49
28433512.242996; 0.00; 0.00; 42.51
28448634.778999; 0.00; 0.00; 42.53
28465789.872993; 0.00; 0.00; 42.55
28480722.272003; 0.00; 0.00; 42.57
28496657.779999; 0.00; 0.00; 42.59
28513422.387001; 0.00; 0.00; 42.61
28530271.080994; 0.00; 0.00; 42.63
28545041.490997; 0.00; 0.00; 42.64
28561507.263000; 0.00; 0.00; 42.66
28576653.374992; 0.00; 0.00; 42.68
28593006.391998; 0.00; 0.00; 42.70
28610801.594002; 0.00; 0.00; 42.72
28625065.946999; 0.00; 0.00; 42.74
28641594.316994; 0.00; 0.00; 42.76
28657754.740997; 0.00; 0.00; 42.77
28674602.542000; 0.00; 0.00; 42.78
28688681.583000; 0.00; 0.00; 42.79
28705786.980995; 0.00; 0.00; 42.81
28720714.551994; 0.00; 0.00; 42.82
28737926.730995; 0.00; 0.00; 42.83
28754923.444992; 0.00; 0.00; 42.85
28768744.862999; 0.00; 0.00; 42.86
28788481.232994; 0.00; 0.00; 42.87
28801115.409996; 0.00; 0.00; 42.88
28817121.962997; 0.00; 0.00; 42.89
28832913.265999; 0.00; 0.00; 42.91
28849776.497993; 0.00; 0.00; 42.92
28865813.071999; 0.00; 0.00; 42.93
28882325.461998; 0.00; 0.00; 42.95
28896655.822998; 0.00; 0.00; 42.96
28912968.460999; 0.00; 0.00; 42.97
28928685.242996; 0.00; 0.00; 42.98
28946252.027000; 0.00; 0.00; 43.00
28960770.694000; 0.00; 0.00; 43.01
28976981.869003; 0.00; 0.00; 43.02
28994146.410995; 0.00; 0.00; 43.04
29008783.074997; 0.00; 0.00; 43.05
29024640.472000; 0.00; 0.00; 43.06
29044668.499992; 0.00; 0.00; 43.07
29058337.467995; 0.00; 0.00; 43.09
29072975.688995; 0.00; 0.00; 43.10
29090340.866997; 0.00; 0.00; 43.11
29105059.589996; 0.00; 0.00; 43.12
29122098.537994; 0.00; 0.00; 43.14
29138470.759003; 0.00; 0.00; 43.15
29152752.164993; 0.00; 0.00; 43.16
29170045.168991; 0.00; 0.00; 43.17
29184815.318001; 0.00; 0.00; 43.19
29201127.402000; 0.00; 0.00; 43.20
29216700.973999; 0.00; 0.00; 43.21
29233760.458992; 0.00; 0.00; 43.22
29248639.224998; 0.00; 0.00; 43.24
29266736.552994; 0.00; 0.00; 43.25
29280661.932999; 0.00; 0.00; 43.26
29297762.187996; 0.00; 0.00; 43.28
29312655.379997; 0.00; 0.00; 43.29
29329717.000000; 0.00; 0.00; 43.30
29344708.171997; 0.00; 0.00; 43.31
29361236.770004; 0.00; 0.00; 43.33
29377403.363998; 0.00; 0.00; 43.34
29392639.407997; 0.00; 0.00; 43.35
29408607.445000; 0.00; 0.00; 43.36
29425989.652000; 0.00; 0.00; 43.38
29441370.936996; 0.00; 0.00; 43.39
29456721.131996; 0.00; 0.00; 43.40
29474460.525002; 0.00; 0.00; 43.42
29488755.406998; 0.00; 0.00; 43.43
29505576.374992; 0.00; 0.00; 43.44
29522287.302994; 0.00; 0.00; 43.45
29536668.974998; 0.00; 0.00; 43.46
